"period","indexName","subIndex","priceChange","totalValue","priceChangeWeighted"
2004-06-01,"Primary Producer Price Index","Planetary Specialized Commodities",0.912086,1077958877.388,-0.002659
2004-06-01,"Secondary Producer Price Index","Blueprints",1.012178,104420390580.575,0.005103
2004-06-01,"Secondary Producer Price Index","Commodity",0.993879,121743258203.858,-0.00299
2004-06-01,"Secondary Producer Price Index","Planetary Commodities",0.90544,652210380.4212,-0.000247
2004-06-01,"Secondary Producer Price Index","Planetary Refined Commodities",1.606995,5519210011.1417,0.013445
2004-06-01,"Secondary Producer Price Index","Planetary Specialized Commodities",1.050556,963577750.788,0.000195
2004-06-01,"Secondary Producer Price Index","Tech II construction components",1.372199,15858985822.2697,0.02369
2004-07-01,"Consumer Price Index","Ammo",0.791193,20499586303.0699,-0.005075
2004-07-01,"Consumer Price Index","Commodity",1.058848,2262014729.0647,0.000157
2004-07-01,"Consumer Price Index","Drones",1.075772,5932676490.4072,0.000533
2004-07-01,"Consumer Price Index","Implants",1.048775,79687010406.6842,0.004608
2004-07-01,"Consumer Price Index","Skills",0.975257,97236335746.3123,-0.002852
2004-07-01,"Consumer Price Index","Starbase structures",0.927927,9129658050.4942,-0.00078
2004-07-01,"Consumer Price Index","Tech I modules",0.966256,64658411907.609,-0.002587
2004-07-01,"Consumer Price Index","Tech I ships",1.053013,491763784560.971,0.030911
2004-07-01,"Consumer Price Index","Tech II modules",1.179654,54712736024.0629,0.011654
2004-07-01,"Consumer Price Index","Tech II ships",1.116307,17498106322.3229,0.002413
2004-07-01,"Mineral Price Index","High-End Minerals",1.037884,419075331133.155,0.024661
2004-07-01,"Mineral Price Index","Low-End Minerals",1.080096,224697251117.512,0.027956
2004-07-01,"Primary Producer Price Index","Commodity",1.053438,1532883989.2756,0.002233
2004-07-01,"Primary Producer Price Index","Ore",1.101368,32029079268.9876,0.088511
2004-07-01,"Primary Producer Price Index","Planetary Processed Materials",0.980692,1097736012.3789,-0.000577
2004-07-01,"Primary Producer Price Index","Planetary Refined Commodities",0.95055,1061053600.7391,-0.00143
2004-07-01,"Primary Producer Price Index","Planetary Specialized Commodities",1.029539,960644281.3946,0.000773
2004-07-01,"Secondary Producer Price Index","Blueprints",0.978671,123630435776.285,-0.00964
2004-07-01,"Secondary Producer Price Index","Commodity",0.982487,123853005271.283,-0.007929
2004-07-01,"Secondary Producer Price Index","Planetary Commodities",0.948602,577840462.4817,-0.000108
2004-07-01,"Secondary Producer Price Index","Planetary Refined Commodities",0.677634,3668559119.3549,-0.004323
2004-07-01,"Secondary Producer Price Index","Planetary Specialized Commodities",0.921392,1424677195.5663,-0.000409
2004-07-01,"Secondary Producer Price Index","Tech II construction components",1.222594,20370795948.6914,0.016577
2004-08-01,"Consumer Price Index","Ammo",1.018053,29788181381.3376,0.000533
2004-08-01,"Consumer Price Index","Commodity",0.919718,2787462546.4578,-0.000221
2004-08-01,"Consumer Price Index","Drones",1.013512,7771351636.2508,0.000104
2004-08-01,"Consumer Price Index","Faction Ships",1.314417,428499999.9996,0.000133
2004-08-01,"Consumer Price Index","Implants",0.999371,95005879809.4612,-0.000059
2004-08-01,"Consumer Price Index","Skills",1.01742,105085398592.952,0.001815
2004-08-01,"Consumer Price Index","Starbase structures",0.956032,11767385422.297,-0.000513
2004-08-01,"Consumer Price Index","Tech I modules",0.975312,76388058822.781,-0.001869
2004-08-01,"Consumer Price Index","Tech I ships",1.029614,578036899187.055,0.016973
2004-08-01,"Consumer Price Index","Tech II modules",0.987374,69329484506.2151,-0.000867
2004-08-01,"Consumer Price Index","Tech II ships",1.190802,32125788310.219,0.006077
2004-08-01,"Mineral Price Index","High-End Minerals",1.021113,455657891897.733,0.013419
2004-08-01,"Mineral Price Index","Low-End Minerals",1.051678,261225417436.549,0.01883
2004-08-01,"Primary Producer Price Index","Commodity",1.043936,1669088402.8198,0.001585
2004-08-01,"Primary Producer Price Index","Ore",1.063747,40833759614.2721,0.056262
2004-08-01,"Primary Producer Price Index","Planetary Processed Materials",0.998941,1227143793.3067,-0.000028
2004-08-01,"Primary Producer Price Index","Planetary Refined Commodities",1.017505,1540957936.8949,0.000583
2004-08-01,"Primary Producer Price Index","Planetary Specialized Commodities",0.909959,994685180.6823,-0.001935
2004-08-01,"Secondary Producer Price Index","Blueprints",1.001042,146476343875.108,0.000416
2004-08-01,"Secondary Producer Price Index","Commodity",1.00204,180204399273.593,0.001003
2004-08-01,"Secondary Producer Price Index","Planetary Commodities",1.00527,702250977.5334,0.00001
2004-08-01,"Secondary Producer Price Index","Planetary Refined Commodities",0.750805,4834206090.748,-0.003287
2004-08-01,"Secondary Producer Price Index","Planetary Specialized Commodities",0.988517,765692052.9044,-0.000023
2004-08-01,"Secondary Producer Price Index","Tech II construction components",1.459121,33469311499.8836,0.041933
2004-09-01,"Consumer Price Index","Ammo",1.000989,31356307874.3467,0.000028
2004-09-01,"Consumer Price Index","Boosters",0.990274,1584438.5928,0
2004-09-01,"Consumer Price Index","Commodity",0.998744,2711794047.892,-0.000003
2004-09-01,"Consumer Price Index","Drones",1.069659,8681991963.3999,0.000547
2004-09-01,"Consumer Price Index","Faction Ships",1.575262,337500000,0.000175
2004-09-01,"Consumer Price Index","Implants",0.969002,99988960971.9771,-0.002808
2004-09-01,"Consumer Price Index","Skills",1.001884,131651889443.309,0.000224
2004-09-01,"Consumer Price Index","Starbase structures",1.035408,11506413320.1615,0.000369
2004-09-01,"Consumer Price Index","Tech I modules",0.933449,84951037417.2887,-0.005122
2004-09-01,"Consumer Price Index","Tech I ships",0.988565,604455406425.135,-0.006263
2004-09-01,"Consumer Price Index","Tech II modules",0.953312,88278205255.9872,-0.003734
2004-09-01,"Consumer Price Index","Tech II ships",1.110874,39692901057.8139,0.003987
2004-09-01,"Mineral Price Index","High-End Minerals",0.951882,458363166265.049,-0.030299
2004-09-01,"Mineral Price Index","Low-End Minerals",1.007375,269560316684.852,0.002731
2004-09-01,"Primary Producer Price Index","Commodity",1.019586,2014092646.709,0.000805
2004-09-01,"Primary Producer Price Index","Ore",1.010736,43050516700.5085,0.009437
2004-09-01,"Primary Producer Price Index","Planetary Processed Materials",1.006158,1329859904.1678,0.000167
2004-09-01,"Primary Producer Price Index","Planetary Refined Commodities",0.958905,1656984248.0801,-0.00139
2004-09-01,"Primary Producer Price Index","Planetary Specialized Commodities",1.041085,923347207.3901,0.000774
2004-09-01,"Secondary Producer Price Index","Blueprints",0.999335,162702536590.129,-0.000304
2004-09-01,"Secondary Producer Price Index","Commodity",0.994967,142819758826.216,-0.00202
2004-09-01,"Secondary Producer Price Index","Planetary Commodities",0.916978,806591826.0776,-0.000188
2004-09-01,"Secondary Producer Price Index","Planetary Refined Commodities",1.085233,4903517413.9751,0.001174
2004-09-01,"Secondary Producer Price Index","Planetary Specialized Commodities",1.038244,1003708296.0282,0.000107
2004-09-01,"Secondary Producer Price Index","Tech II construction components",1.136043,43462290848.4125,0.016622
2004-10-01,"Consumer Price Index","Ammo",0.908788,30838365812.0112,-0.002039
2004-10-01,"Consumer Price Index","Boosters",1.004693,3780703.1231,0
2004-10-01,"Consumer Price Index","Commodity",0.964656,195288084535.08,-0.005004
2004-10-01,"Consumer Price Index","Drones",0.930882,7775748363.9518,-0.000389
2004-10-01,"Consumer Price Index","Implants",0.832251,114954841084.076,-0.013981
2004-10-01,"Consumer Price Index","Skills",1.009443,147383360589.187,0.001009
2004-10-01,"Consumer Price Index","Starbase structures",0.968569,10720761024.4225,-0.000244
2004-10-01,"Consumer Price Index","Tech I modules",0.915816,85687796970.4217,-0.00523
2004-10-01,"Consumer Price Index","Tech I ships",0.944973,617342017305.441,-0.024629
2004-10-01,"Consumer Price Index","Tech II modules",0.891162,117412269720.033,-0.009265
2004-10-01,"Consumer Price Index","Tech II ships",0.8974,51853885614.5322,-0.003857
2004-10-01,"Mineral Price Index","High-End Minerals",0.897115,450970669217.585,-0.065582
2004-10-01,"Mineral Price Index","Low-End Minerals",0.97026,256501957635.674,-0.010782
2004-10-01,"Primary Producer Price Index","Commodity",1.133006,3734476640.3739,0.009667
2004-10-01,"Primary Producer Price Index","Ore",0.979436,41679022304.3849,-0.016681
2004-10-01,"Primary Producer Price Index","Planetary Processed Materials",0.995803,1639509834.1003,-0.000133
2004-10-01,"Primary Producer Price Index","Planetary Refined Commodities",1.134591,3293507501.2473,0.008627
2004-10-01,"Primary Producer Price Index","Planetary Specialized Commodities",1.054501,1032702905.7836,0.001095
2004-10-01,"Secondary Producer Price Index","Blueprints",1.0048,128474127173.105,0.001792
2004-10-01,"Secondary Producer Price Index","Commodity",0.997643,143702900016.877,-0.000984
2004-10-01,"Secondary Producer Price Index","Planetary Commodities",0.923616,663386302.0244,-0.000147
2004-10-01,"Secondary Producer Price Index","Planetary Refined Commodities",0.839531,4788969645.878,-0.002233
2004-10-01,"Secondary Producer Price Index","Planetary Specialized Commodities",1.041929,1488915025.509,0.000181
2004-10-01,"Secondary Producer Price Index","Tech II construction components",0.948321,64947129895.7381,-0.009755
2004-11-01,"Consumer Price Index","Ammo",0.802556,30227598481.4857,-0.004224
2004-11-01,"Consumer Price Index","Boosters",0.908115,1445605.8848,0
2004-11-01,"Consumer Price Index","Commodity",0.977768,183590177982.426,-0.002889
2004-11-01,"Consumer Price Index","Drones",1.069551,8836992090.8258,0.000435
2004-11-01,"Consumer Price Index","Implants",0.889988,114886243020.408,-0.008946
2004-11-01,"Consumer Price Index","Skills",0.988094,136931355045.818,-0.001153
2004-11-01,"Consumer Price Index","Starbase structures",1.033529,11688852462.4349,0.000277
2004-11-01,"Consumer Price Index","Tech I modules",1.037977,96210745225.1302,0.002586
2004-11-01,"Consumer Price Index","Tech I ships",0.965509,643907446355.301,-0.015719
2004-11-01,"Consumer Price Index","Tech II modules",0.880123,124736541293.594,-0.010584
2004-11-01,"Consumer Price Index","Tech II ships",0.860179,61776597091.6142,-0.006113
2004-11-01,"Mineral Price Index","High-End Minerals",0.984321,495185254606.172,-0.010006
2004-11-01,"Mineral Price Index","Low-End Minerals",0.981121,280715021929.955,-0.00683
